Name,Sweep (T1),,,Name,Sweep (T1),,,Name,Sweep (T1),,,
475380710.659899,-20.2246780395508,,,475380710.659899,-20.1672706604004,,,475380710.659899,-20.2161979675293,,,
477834179.357022,-20.2353897094727,,,477834179.357022,-20.1696357727051,,,477834179.357022,-20.2302951812744,,,
480287648.054146,-20.2358074188232,,,480287648.054146,-20.1796817779541,,,480287648.054146,-20.2371406555176,,,
482741116.751269,-20.2362270355225,,,482741116.751269,-20.1897277832031,,,482741116.751269,-20.2439861297607,,,
485194585.448393,-20.2366466522217,,,485194585.448393,-20.1997737884521,,,485194585.448393,-20.2508316040039,,,
487648054.145516,-20.2370643615723,,,487648054.145516,-20.2098197937012,,,487648054.145516,-20.2576770782471,,,
490101522.84264,-20.2374839782715,,,490101522.84264,-20.2198657989502,,,490101522.84264,-20.2645206451416,,,
492554991.539763,-20.2351760864258,,,492554991.539763,-20.2247848510742,,,492554991.539763,-20.2629528045654,,,
495008460.236887,-20.2292556762695,,,495008460.236887,-20.2229099273682,,,495008460.236887,-20.2502326965332,,,
497461928.93401,-20.2233333587646,,,497461928.93401,-20.2210369110107,,,497461928.93401,-20.2375106811523,,,
499915397.631134,-20.2174129486084,,,499915397.631134,-20.2191619873047,,,499915397.631134,-20.2247886657715,,,
502368866.328257,-20.2114925384521,,,502368866.328257,-20.2172870635986,,,502368866.328257,-20.2120685577393,,,
504822335.025381,-20.2055702209473,,,504822335.025381,-20.2154121398926,,,504822335.025381,-20.1993465423584,,,
507275803.722504,-20.202392578125,,,507275803.722504,-20.2159786224365,,,507275803.722504,-20.1960754394531,,,
509729272.419628,-20.2017498016357,,,509729272.419628,-20.2187976837158,,,509729272.419628,-20.2015266418457,,,
512182741.116751,-20.2011051177979,,,512182741.116751,-20.2216186523438,,,512182741.116751,-20.2069778442383,,,
514636209.813875,-20.20046043396,,,514636209.813875,-20.224437713623,,,514636209.813875,-20.2124290466309,,,
517089678.510998,-20.1998157501221,,,517089678.510998,-20.227258682251,,,517089678.510998,-20.2178802490234,,,
519543147.208122,-20.1991729736328,,,519543147.208122,-20.2300777435303,,,519543147.208122,-20.2233295440674,,,
521996615.905245,-20.1885528564453,,,521996615.905245,-20.2350883483887,,,521996615.905245,-20.2283058166504,,,
524450084.602369,-20.1715564727783,,,524450084.602369,-20.2414970397949,,,524450084.602369,-20.2329750061035,,,
526903553.299492,-20.1545581817627,,,526903553.299492,-20.2479057312012,,,526903553.299492,-20.2376461029053,,,
529357021.996616,-20.1375617980957,,,529357021.996616,-20.2543144226074,,,529357021.996616,-20.242317199707,,,
531810490.693739,-20.1205654144287,,,531810490.693739,-20.2607231140137,,,531810490.693739,-20.2469882965088,,,
534263959.390863,-20.1035671234131,,,534263959.390863,-20.2671318054199,,,534263959.390863,-20.2516574859619,,,
536717428.087986,-20.1204490661621,,,536717428.087986,-20.2811603546143,,,536717428.087986,-20.2615280151367,,,
539170896.78511,-20.1518497467041,,,539170896.78511,-20.298454284668,,,539170896.78511,-20.2736263275146,,,
541624365.482234,-20.1832485198975,,,541624365.482234,-20.3157482147217,,,541624365.482234,-20.2857246398926,,,
544077834.179357,-20.2146492004395,,,544077834.179357,-20.333044052124,,,544077834.179357,-20.2978229522705,,,
546531302.876481,-20.2460498809814,,,546531302.876481,-20.3503379821777,,,546531302.876481,-20.3099212646484,,,
548984771.573604,-20.2774505615234,,,548984771.573604,-20.3676319122314,,,548984771.573604,-20.3220195770264,,,
551438240.270728,-20.2942562103271,,,551438240.270728,-20.3869476318359,,,551438240.270728,-20.3296718597412,,,
553891708.967851,-20.3071842193604,,,553891708.967851,-20.4068012237549,,,553891708.967851,-20.3361434936523,,,
556345177.664975,-20.3201122283936,,,556345177.664975,-20.4266548156738,,,556345177.664975,-20.3426151275635,,,
558798646.362098,-20.3330383300781,,,558798646.362098,-20.4465103149414,,,558798646.362098,-20.3490867614746,,,
561252115.059222,-20.3459663391113,,,561252115.059222,-20.4663639068604,,,561252115.059222,-20.3555583953857,,,
563705583.756345,-20.3588943481445,,,563705583.756345,-20.4862174987793,,,563705583.756345,-20.3620300292969,,,
566159052.453469,-20.3451251983643,,,566159052.453469,-20.4567222595215,,,566159052.453469,-20.3617916107178,,,
568612521.150592,-20.3277149200439,,,568612521.150592,-20.4204959869385,,,568612521.150592,-20.3606357574463,,,
571065989.847716,-20.3103065490723,,,571065989.847716,-20.3842697143555,,,571065989.847716,-20.3594818115234,,,
